q,world,mode,seed,alpha,hyp,I,P,C,W
8,noW,soft,11,100.0,4.0,0.11217888709095625,0.1539007669477384,-0.008340408910883002,-0.03478976016480685
8,planted,soft,11,100.0,8.0,0.061068108754210676,-0.0035481537740930567,0.03822553100700346,0.07447007032272478
8,real,hard,11,100.0,1.0,0.12581053282018287,0.13103736955392442,0.006600739025439515,-0.08687914207266331
8,noW,hard,11,100.0,1.0,0.11360377925448528,0.1380555268695241,-0.006525921324258564,-0.12523025435166593
8,noC,soft,11,100.0,4.0,0.12363950611670499,0.1414283708903243,-0.0006492460024930258,0.008252692039432397
8,real,soft,29,100.0,4.0,0.12254129070834645,0.16637327756103443,0.002687102405593565,0.002452372564791112
8,noI,soft,29,100.0,4.0,-0.0017999058542569706,0.15803632251659827,-0.005200530644530429,-0.036175191778755354
8,noP,soft,29,100.0,2.0,0.08346998628318866,0.0007990244239858741,-0.00200026971647337,-0.003201141483902298
8,noW,soft,29,100.0,4.0,0.12079393539991616,0.16337805588296941,-0.006485858506695789,-0.03531039790380506
8,planted,soft,29,100.0,8.0,0.03937043983081921,-0.00037205670418855025,0.02279919007878828,0.06166756629132793
8,real,hard,29,100.0,1.0,0.12329808610432262,0.15375417221355192,0.005577232171880535,-0.06900165488333493
8,noW,hard,29,100.0,1.0,0.12253482843000923,0.1459958697038619,-0.004687900400042068,-0.15633821483926713
8,noC,soft,29,100.0,4.0,0.12242799188216874,0.16721099165656772,-0.00583292700712699,0.003100298447627067
8,real,soft,47,100.0,4.0,0.10280261737157066,0.17865524620932727,0.015330260029930997,-0.0053903955263886385
8,noI,soft,47,100.0,4.0,-3.022164555647559e-10,0.15757859794070062,-0.0053191693746596855,-0.040430699086471955
8,noP,soft,47,100.0,4.0,0.09592119412361162,-0.0016185339246031862,-0.006883546655045165,-0.0004728980609559803
8,noW,soft,47,100.0,4.0,0.10984814361610541,0.14401891958082325,0.0035551038396615478,-0.03346335314640721
8,planted,soft,47,100.0,8.0,0.051544235613891494,0.005181871181823329,0.010096407078953845,0.03762285079138036
8,real,hard,47,100.0,1.0,0.1056223627153413,0.1646875652781859,0.012350646020620184,-0.08327351159620526
8,noW,hard,47,100.0,1.0,0.11241741191993106,0.12862023583883292,0.003887878334992064,-0.14708140770471267
8,noC,soft,47,100.0,4.0,0.1019745718134283,0.17906973320523709,-0.002575280319338809,-0.005357417762715495
13,real,soft,11,100.0,8.0,0.31809543117983125,0.12672876700992014,0.005993858392047173,0.0035862471059425194
13,noI,soft,11,100.0,8.0,-4.985559446761082e-09,0.10732219905160817,0.0010856745226755133,-0.02784275698552888
13,noP,soft,11,100.0,4.0,0.30394671783768856,6.058634812080206e-05,-0.0015430514591876683,-0.00010926999233114759
13,noW,soft,11,100.0,8.0,0.31369180462465807,0.13005959753725893,0.0012800027071900957,-0.012248126893836076
13,planted,soft,11,10.0,8.0,0.1284050535434344,0.0023639630736270547,0.02932819204886659,0.10307043202216344
