q,Kw,seed,world,arm,brier_I,brier_P,brier_C,brier_W,l1_I,l1_P,l1_C,l1_W
17,8,29,real,permC,0.1978984852410852,0.011431635610185842,-0.0012227477464742211,-0.02474127574418124,0.1740017290729612,0.06777868160428764,0.00028484677022017063,0.003715979651446988
19,1,11,real,real,0.15402840618286673,0.11222477441844851,0.007935610865673301,0.009610389688877239,0.13842011582386385,0.13859750496461748,0.007509495782104377,0.04039456483798598
19,1,11,null,real,0.15494139415343422,0.11216846763913488,-0.0007627389261569325,-0.05776643427141882,0.14216681178384863,0.14209530278382737,0.00010113184951217788,0.00010971822764264494
19,1,11,real,permC,0.15449492647391022,0.11154590432490484,-0.0004717344038674317,0.009975626389090228,0.13862852826780872,0.13911345360759125,0.00014953385682150988,0.04081429284319905
19,2,11,real,real,0.1535482768009782,0.1130754445670975,0.007552185358344426,0.0014467708727906314,0.13832092518255523,0.13677308168281077,0.0070901090083390255,0.06118388498327066
19,2,11,null,real,0.15275141276663837,0.11780686809891379,-0.0006098039440819344,-0.11057877142621658,0.1417202731728886,0.13986015084309478,0.00010182677143585894,-0.0043478640170204474
19,2,11,real,permC,0.1540366326924374,0.11226937255125859,-0.00047842582979364573,0.0021887416544062828,0.13864286522523733,0.13731104176400127,0.0001179017325641333,0.061991367637991714
19,4,11,real,real,0.15369970214028378,0.12195794279716292,0.006079347292454221,-0.02134807277756647,0.13543060476174568,0.13424690151959578,0.006341708643549715,0.0863867464403441
19,4,11,null,real,0.15165425103933,0.12041843787315477,-0.0006112572726036843,-0.18541809762697256,0.1399536755101175,0.1348017617182078,5.3074500905775375e-05,-0.005455589712296047
19,4,11,real,permC,0.15397210226533542,0.12066629588822896,-0.0004633489047182471,-0.019118187004985212,0.1357594870092305,0.1346270902732352,0.00013490188361695946,0.08795962961090728
19,8,11,real,real,0.15386890970935557,0.12495468514925785,0.006594257786017836,-0.1507660217751593,0.1303051729817285,0.1291629868972142,0.0060189207722385705,0.07004782174601491
19,8,11,null,real,0.15227681242215568,0.12370342975783671,-0.0003159223266661348,-0.35786096469230777,0.1344600264046793,0.12757304831509927,0.0002249024869283393,-0.03776252497223338
