q,Kc,Kw,seed,world,I,P,C,W
8,8,4,11,margin,0.11202395751433533,0.11991946432431215,-0.0063016291635366135,-0.360919026680623
8,8,4,11,both,0.11321005313990425,0.11917725284586482,-0.003243943721948861,-0.36103935926834124
8,1,1,29,real,0.12531256364887397,0.125964164778473,0.0011681791257444618,-0.04603977185840989
8,1,1,29,permC,0.12547112528219315,0.12588264918476605,0.00034228441846790675,-0.04631175840530299
8,1,1,29,margin,0.12467682073797898,0.12493622989438825,0.0011496089699354153,-0.12439795599565999
8,1,1,29,both,0.12492107471761336,0.12469972124228895,-2.5188270024021687e-05,-0.12447251689394064
8,1,2,29,real,0.12410949911921473,0.14248065714127833,0.0015490617120842893,-0.08468066630844025
8,1,2,29,permC,0.1242050456541338,0.14261132192371448,0.0005684729019696244,-0.08510734695817145
8,1,2,29,margin,0.12442221611529412,0.12889830374952188,0.0012864309874240087,-0.20411443207329474
8,1,2,29,both,0.1246254202335805,0.12893415341638248,9.276563904394206e-05,-0.20420786107999603
8,1,4,29,real,0.12286509369481417,0.1489543416043353,0.0010242652390277753,-0.10860859476418812
8,1,4,29,permC,0.12295618168706185,0.14925945050108658,4.514205322488554e-05,-0.10903380978960757
8,1,4,29,margin,0.12269994388394799,0.16513346410240368,0.0011189370786081343,-0.35324175354326526
8,1,4,29,both,0.12247679554101176,0.165044690848028,7.551428454965114e-05,-0.353184939995645
8,4,1,29,real,0.1253741857711827,0.12672766919265427,0.0013261189661563644,-0.04678506436583681
8,4,1,29,permC,0.12558744855915405,0.12614502599875627,-0.0004228520329057813,-0.04626889960887424
8,4,1,29,margin,0.12476297260094696,0.12490778140596354,0.001049193170507991,-0.12456246600492688
8,4,1,29,both,0.1251843290407545,0.12555969438877948,-0.002433555591806339,-0.12451041735390828
8,4,2,29,real,0.1236969247636805,0.14284169539009522,-0.0003022021883049564,-0.0874351625566683
8,4,2,29,permC,0.12424940511629029,0.14312562104745796,-0.00033306240819889566,-0.08520088702053753
8,4,2,29,margin,0.12452045161694521,0.12900782796843752,0.0012885097367303366,-0.2041764475338279
8,4,2,29,both,0.12480413701871453,0.129687433546819,-0.001985005222500502,-0.2039151650797258
8,4,4,29,real,0.1231028302764474,0.15057004491778156,0.0009745533769824251,-0.1095615389740723
8,4,4,29,permC,0.12298502557842043,0.14982644332746153,-0.0009370379668441805,-0.1092079945618742
8,4,4,29,margin,0.12277860936381511,0.16486097209484288,0.0008571510622472263,-0.35356763376946565
8,4,4,29,both,0.12252641237250514,0.16580369140644644,-0.0025909274555195776,-0.35348091487389943
8,8,1,29,real,0.12528071886798955,0.12872764511347562,0.004031344139321611,-0.04652297072666564
8,8,1,29,permC,0.12505806129367533,0.12708759321733976,-0.0035669383764254385,-0.04569342880903076
8,8,1,29,margin,0.1243593872082676,0.12508419801532392,-0.001131810025927077,-0.12465290862883215
8,8,1,29,both,0.1250312791879947,0.12643128412667295,-0.005364837918264124,-0.12430174648595141
8,8,2,29,real,0.12300825887757633,0.1440267017763964,0.0006183620632369731,-0.08895772983912047
8,8,2,29,permC,0.12357897537495041,0.14393028099213934,-0.0032313460424875837,-0.08437961351146309
8,8,2,29,margin,0.12400465506255554,0.12882253781528635,-0.0004377967130688535,-0.2038121934110973
8,8,2,29,both,0.12470904035910418,0.13024456414376345,-0.0048184582988533104,-0.20360866496166394
8,8,4,29,real,0.1228693913179137,0.1518668323178497,0.00229391352316353,-0.11068531036188528
