q,K,seed,world,I,P,C,W
8,8,29,margin,0.12408259896962506,0.17334230792283878,-0.0004457167380681656,-0.2871668725196723
8,8,29,rowshuf,-0.00022981227959055034,0.12374284616375132,-0.006428814122509451,-0.4363411678278959
8,8,29,colshuf,0.11812129022330627,-0.07282602473926224,-0.006658073632253699,-0.023643476973750095
13,1,11,real,0.3121020795985833,0.11755876385476517,0.002178451409722855,-0.014451084029792893
13,1,11,permC,0.31211539672267563,0.11767376303518326,1.1966991813328047e-05,-0.014499180323850261
13,1,11,margin,0.3080949515288298,0.11614896493196951,0.00018955470379821332,-0.03184624649683364
13,1,11,rowshuf,-0.00020044513759624275,0.07503143584855623,4.214860778548972e-05,-0.05848500513760122
13,1,11,colshuf,0.3015296528755732,-0.03536468371085003,6.377550114061715e-05,-0.06382921677321887
13,2,11,real,0.31274689105521336,0.12165549627045338,0.002399735048827798,-0.04396322761860829
13,2,11,permC,0.3127604263612648,0.12159089947418418,-6.932720300637887e-05,-0.044061915491065785
13,2,11,margin,0.31041623418426395,0.11556638401565242,0.00016620971718076894,-0.07943288258554998
13,2,11,rowshuf,-0.00022011366939252613,0.0772699828069447,0.00012204668082595645,-0.11602971470884983
13,2,11,colshuf,0.2990673880005457,-0.03660720542873361,-0.00021111131549072143,-0.10708899787299987
13,3,11,real,0.3135011391968974,0.1205217603036183,0.00368166840729057,-0.06534392906709702
13,3,11,permC,0.3139176192237113,0.12037747106118006,1.5129144650479393e-05,-0.06442987196334737
13,3,11,margin,0.3108759940542848,0.11262835236256549,0.000773312940251227,-0.10545890071301926
13,3,11,rowshuf,-0.0002865565500196343,0.07873533582095556,4.074373853233763e-05,-0.17402263032057302
13,3,11,colshuf,0.29586273304660005,-0.03365529660399782,-0.0003973480545391336,-0.16090417615807623
13,5,11,real,0.30965229526508575,0.11550397770900078,0.004010287912590023,-0.11130430880648917
13,5,11,permC,0.31001968614602615,0.11519322135590544,-6.828761164021091e-05,-0.1098016727371234
13,5,11,margin,0.30797872310600083,0.11903324068839766,0.00110587193620848,-0.1721115993472043
13,5,11,rowshuf,-0.00026270566567217674,0.08405708676806406,0.00021363419425265057,-0.28747181881896805
13,5,11,colshuf,0.2962685507422914,-0.03019598330441381,-0.00034602335991842,-0.24865404699812457
13,8,11,real,0.30596648978075036,0.11677717002274304,0.0038685985458141075,-0.1671454138005233
13,8,11,permC,0.3065619054472861,0.11623950900986564,-0.0001623895630929924,-0.16464810501587107
13,8,11,margin,0.30752080901701995,0.11820666925037739,0.0009980426327140617,-0.22091212550819406
13,8,11,rowshuf,-0.00015731391566070618,0.09210923052582001,-3.283898532237728e-05,-0.4553699015603368
13,8,11,colshuf,0.3041249492896562,-0.02701348463216113,-0.0008245551455417498,-0.30526364435523834
13,1,29,real,0.3086125371196703,0.11744766016559663,0.001417380608899399,-0.012356786440199368
13,1,29,permC,0.3085056261193043,0.11780964454115357,-0.0003650723277399218,-0.012404185251487648
13,1,29,margin,0.30426163199621503,0.11657846180664168,-0.0002152582436618089,-0.025002898984660852
13,1,29,rowshuf,-0.00018030687486958463,0.07389675710901614,-0.00016352310346517962,-0.057866229928215634
13,1,29,colshuf,0.2974335900855849,-0.038029068578375305,-0.00041220925864004127,-0.07439456063110764
13,2,29,real,0.30941329155954594,0.12187682952437306,0.001436236270897386,-0.04411906124104267
13,2,29,permC,0.30909879895428866,0.12212754721826828,-0.0003559249044071122,-0.044003375985622706
